procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0    512 15393108 2385248 100168352    0    0     0     4 13160 4874 23  4 73  0  0
16  0    512 15394456 2385252 100168368    0    0     0  1400 17439 2486 23  3 73  0  0
17  0    512 15395028 2385256 100168368    0    0     0    28 16116 2674 23  4 73  0  0
16  0    512 15392788 2385256 100168384    0    0     0    72 12526 3649 17  3 80  0  0
17  0    512 15392312 2385256 100168400    0    0     0     8 15637 3653 23  3 73  0  0
17  0    512 15399348 2385256 100168408    0    0     0   112 16066 3370 22  4 73  0  0
16  0    512 15399128 2385256 100168408    0    0     0  1928 16665 2913 23  4 73  0  0
16  0    512 15398560 2385256 100168416    0    0     0     8 16998 2968 23  3 74  0  0
18  0    512 15398104 2385260 100168432    0    0     0    36 15918 2715 23  3 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0    512 15397232 2385260 100168432    0    0   128    40 15418 3145 23  3 74  0  0
17  0    512 15397996 2385260 100168704    0    0     0   120 15686 3069 23  3 74  0  0
